+-----------------------------------+----------------+
|               name                | LENGTH(p.name) |
| People of Iraq                    | 14             |
| Pep Munné                         | 9              |
| Pepe Barrientos                   | 15             |
| Pepe Galotto                      | 12             |
| Pepe Núñez                        | 10             |
| Pepe Sobradelo                    | 14             |
| Pepón Fuentes                     | 13             |
| Per Christian Ellefsen            | 22             |
| Per Graffman                      | 12             |
| Per Henrik Bals                   | 15             |
| Per Horneij                       | 11             |
| Per Svensson                      | 12             |
| Percival de Carvalho              | 20             |
| Percy Copley                      | 12             |
| Percy Matsemela                   | 15             |
| Peretz Lavie                      | 12             |
| Perizaad Zorabian                 | 17             |
| Perizaad Zorabian                 | 17             |
| Pernille Bergendorff              | 20             |
| Perrine Moore                     | 13             |
| Perry Chiu                        | 10             |
| Perry King                        | 10             |
| Peta Shannon                      | 12             |
| Petar Cvirn                       | 11             |
| Petcharat Pumkham                 | 17             |
| Pete Auger                        | 10             |
| Pete Barbutti                     | 13             |
| Pete Barker                       | 11             |
| Pete Barker                       | 11             |
| Pete Cabrinha                     | 13             |
| Pete DeLorenzo                    | 14             |
| Pete Harmelin                     | 13             |
| Pete Hawkins                      | 12             |
| Pete Howard                       | 11             |
| Pete Howard                       | 11             |
| Pete Jones                        | 10             |
| Pete LaChappelle                  | 16             |
| Pete Spratt                       | 11             |
| Pete Teo                          | 8              |
| Pete Thongchua                    | 14             |
| Pete York                         | 9              |
| Peter Adkison                     | 13             |
| Peter Allas                       | 11             |
| Peter Alton                       | 11             |
| Peter Arens                       | 11             |
| Peter Arnett                      | 12             |
| Peter Arpesella                   | 15             |
| Peter Barnes                      | 12             |
| Peter Beck                        | 10             |
| Peter Bichsel                     | 13             |
| Peter Blok                        | 10             |
| Peter Blok                        | 10             |
| Peter Bogdanovich                 | 17             |
| Peter Bogdanovich                 | 17             |
| Peter Bogdanovich                 | 17             |
| Peter Brandão                     | 13             |
| Peter Brown                       | 11             |
| Peter Brown                       | 11             |
| Peter Buck                        | 10             |
| Peter Bunor                       | 11             |
| Peter Calthorpe                   | 15             |
| Peter Capaldi                     | 13             |
| Peter Cavanaugh                   | 15             |
| Peter Coyote                      | 12             |
| Peter Coyote                      | 12             |
| Peter Coyote                      | 12             |
| Peter Coyote                      | 12             |
| Peter Dalle                       | 11             |
| Peter Darrigo                     | 13             |
| Peter Dizozza                     | 13             |
| Peter Doyle                       | 11             |
| Peter Eggers                      | 12             |
| Peter Eggers                      | 12             |
| Peter Fisher                      | 12             |
| Peter Franzén                     | 13             |
| Peter Franzén                     | 13             |
| Peter Friedrich                   | 15             |
| Peter Gantzler                    | 14             |
| Peter Gerety                      | 12             |
| Peter H. Russell                  | 16             |
| Peter Haig                        | 10             |
| Peter Ho                          | 8              |
| Peter Holliger                    | 14             |
| Peter Holst                       | 11             |
| Peter Josie                       | 11             |
| Peter Kennedy                     | 13             |
| Peter Kent                        | 10             |
| Peter Kent                        | 10             |
| Peter Kollmann                    | 14             |
| Peter Krause                      | 12             |
| Peter Lohmeyer                    | 14             |
| Peter Lynch                       | 11             |
| Peter MacNicol                    | 14             |
| Peter Marchese                    | 14             |
| Peter Martell                     | 13             |
| Peter McRobbie                    | 14             |
| Peter Mullan                      | 12             |
| Peter Mullan                      | 12             |
| Peter Musevski                    | 14             |
| Peter Musevski                    | 14             |
| Peter Musevski                    | 14             |
| Peter Mühltaler                   | 15             |
| Peter Neururer                    | 14             |
| Peter New                         | 9              |
| Peter O'Meara                     | 13             |
| Peter Oliver Hansen               | 19             |
| Peter Outerbridge                 | 17             |
| Peter Outerbridge                 | 17             |
| Peter Paige                       | 11             |
| Peter Paul Muller                 | 17             |
| Peter Quintana                    | 14             |
| Peter Raab                        | 10             |
| Peter Riegert                     | 13             |
| Peter Sarsgaard                   | 15             |
| Peter Sarsgaard                   | 15             |
| Peter Sempel                      | 12             |
| Peter Stebbings                   | 15             |
| Peter Strauß                      | 12             |
| Peter Tatchell                    | 14             |
| Peter Van Hooke                   | 15             |
| Peter Van den Begin               | 19             |
| Peter Weimar                      | 12             |
| Peter Zhmutski                    | 14             |
| Petey Pablo                       | 11             |
| Petr Duba                         | 9              |
| Petr Forman                       | 11             |
| Petr Forman                       | 11             |
| Petr Hradil                       | 11             |
| Petra Cirkovski                   | 15             |
| Petra Dras                        | 10             |
| Petra Hainz                       | 11             |
| Petra Kleinert                    | 14             |
| Petra Morzé                       | 11             |
| Petra Nettelbeck                  | 16             |
| Petra Wright                      | 12             |
| Petre Melvin                      | 12             |
| Petrona Martínez                  | 16             |
| Petros Markaris                   | 15             |
| Petros Papavasileiou              | 20             |
| Petter Bjorkman                   | 15             |
| Petya Kadochnikov                 | 17             |
| Pham Quang Anh                    | 14             |
| Phataraphon Silapajaan            | 22             |
| Phatthanotree Podyanon            | 22             |
| Phellipe Haagensen                | 18             |
| Phenphet Phenkul                  | 16             |
| Phetthai Vongkumlao               | 19             |
| Phil Amador                       | 11             |
| Phil Collins                      | 12             |
| Phil Cornwell                     | 13             |
| Phil Hellmuth Jr.                 | 17             |
| Phil LaMarr                       | 11             |
| Phil Lander                       | 11             |
| Phil Oakey                        | 10             |
| Phil Proctor                      | 12             |
| Phil Selway                       | 11             |
| Phil Trasolini                    | 14             |
| Philip Adkins                     | 13             |
| Philip Andrew                     | 13             |
| Philip Anthony                    | 14             |
| Philip Bauman                     | 13             |
| Philip Boyd                       | 11             |
| Philip Craig                      | 12             |
| Philip Fowler                     | 13             |
| Philip Glass                      | 12             |
| Philip Hartman Jr.                | 18             |
| Philip Keung                      | 12             |
| Philip Keung                      | 12             |
| Philip M. Gardiner                | 18             |
| Philip Moon                       | 11             |
| Philip Nitschke                   | 15             |
| Philip Seymour Hoffman            | 22             |
| Philip Tan                        | 10             |
| Philippe Chaine                   | 15             |
| Philippe De Grossouvre            | 22             |
| Philippe Khorsand                 | 17             |
| Philippe Lacoue-Labarthe          | 24             |
| Philippe Le Mercier               | 19             |
| Philippe Magnin                   | 15             |
| Philippe Nahon                    | 14             |
| Philippe Torreton                 | 17             |
| Phillip Berry                     | 13             |
| Phillip Carlson                   | 15             |
| Phillip Kelly                     | 13             |
| Phillip Schneider                 | 17             |
| Phillippia                        | 10             |
| Philou                            | 6              |
| Phintusuda Tunphairao             | 21             |
| Pho Phyu                          | 8              |
| Phoebe Chu                        | 10             |
| Phoophan Khannathap               | 19             |
| Phuong Dung Ho                    | 14             |
| Phyllida Law                      | 12             |
| Phyllis Bennis                    | 14             |
| Phyllis Diller                    | 14             |
| Pi Lind                           | 7              |
| Pi-Chia Liu                       | 11             |
| Pia Hierzegger                    | 14             |
| Pia Johansson                     | 13             |
| Pia Thrasher                      | 12             |
| Pia Vieth                         | 9              |
| Pier Giorgio Bellocchio           | 23             |
| Pierce Brosnan                    | 14             |
| Pierce Brosnan                    | 14             |
| Pierfrancesco Favino              | 20             |
| Pierfrancesco Favino              | 20             |
| Piero Antinori                    | 14             |
| Pierre Arditi                     | 13             |
| Pierre Arditi                     | 13             |
| Pierre Bordes                     | 13             |
| Pierre Boulez                     | 13             |
| Pierre Chatagny                   | 15             |
| Pierre Cloete                     | 13             |
| Pierre Cosso                      | 12             |
| Pierre Curzi                      | 12             |
| Pierre Ingold                     | 13             |
| Pierre Lebeau                     | 13             |
| Pierre Lebeau                     | 13             |
| Pierre Lekeux                     | 13             |
| Pierre Martin                     | 13             |
| Pierre Méréjkowsky                | 18             |
| Pierre Palmade                    | 14             |
| Pierre Richard                    | 14             |
| Pierre Taki                       | 11             |
| Pierre Tatarka                    | 14             |
| Pierre Trabaud                    | 14             |
| Pierre-Antoine Lasnier            | 22             |
| Pierre-Loup Rajot                 | 17             |
| Piers Robinson                    | 14             |
| Pietro Sibille                    | 14             |
| Pietro Taricone                   | 15             |
| Pilar Bardem                      | 12             |
| Pilar Bardem                      | 12             |
| Pilar Barrera                     | 13             |
| Pilar Castro                      | 12             |
| Pili Ferrero                      | 12             |
| Pilla Prasad                      | 12             |
| Pilot Baba                        | 10             |
| Pilot Baba                        | 10             |
| Pimpan Chalaikupp                 | 17             |
| Pinar Erincin                     | 13             |
| Ping Chou                         | 9              |
| Pink Freud                        | 10             |
| Pinko Izumi                       | 11             |
| Pinky Cheung                      | 12             |
| Pinky Cheung                      | 12             |
| Pinky Cheung                      | 12             |
| Pinky Chinoy                      | 12             |
| Pinky Chinoy                      | 12             |
| Pinky Harwani                     | 13             |
| Pinky Marquez                     | 13             |
| Pino Ammendola                    | 14             |
| Pino Corrado                      | 12             |
| Pinto Colvig                      | 12             |
| Pintu Nanda                       | 11             |
| Piolo Pascual                     | 13             |
| Piotr Buczek                      | 12             |
| Piotr Ligienza                    | 14             |
| Piotr Lukaszczyk                  | 16             |
| Piper Cochrane                    | 14             |
| Piper Perabo                      | 12             |
| Piper Perabo                      | 12             |
| Piper Perabo                      | 12             |
| Piphat Apiraktanakorn             | 21             |
| Pirkko Saisio                     | 13             |
| Pisek Intrakanchit                | 18             |
| Pisek Intrakanchit                | 18             |
| Pistolteatern                     | 13             |
| Pitchanart Sakakorn               | 19             |
| Pitisak Yaowananon                | 18             |
| Piyapong Piew-on                  | 16             |
| Plato Lai                         | 9              |
| Pledgure Duoshun                  | 16             |
| Po-Hao Hung                       | 11             |
| Poan Pasda                        | 10             |
| Pogo                              | 4              |
| Poh Huat Lim                      | 12             |
| Pol Pierart                       | 11             |
| Polina Agureeva                   | 15             |
| Polly Frame                       | 11             |
| Polly Shannon                     | 13             |
| Pongpat Wachirabunjong            | 22             |
| Pongpat Wachirabunjong            | 22             |
| Pongsatorn Jongwilas              | 20             |
| Ponnamma Babu                     | 13             |
| Ponvannan                         | 9              |
| Pooja                             | 5              |
| Pooja Dadwal                      | 12             |
| Pooja Kanwal                      | 12             |
| Pooja Raawat                      | 12             |
| Pooja Umashankar                  | 16             |
| Poojabharathi                     | 13             |
| Poojappura Ravi                   | 15             |
| Poonam Dasgupta                   | 15             |
| Poorya Dehghan                    | 14             |
| Popcorn Sutton                    | 14             |
| Pope John Paul II                 | 17             |
| Poppy Nguyen                      | 12             |
| Pornchita Na Songkhla             | 21             |
| Poulad Kimiayi                    | 14             |
| Povilas Stankus                   | 15             |
| Prabhas                           | 7              |
| Prabhas                           | 7              |
| Prabhu                            | 6              |
| Prabhu                            | 6              |
| Prabhu Deva                       | 11             |
| Prabhu Deva                       | 11             |
| Pradeep Chakraborty               | 19             |
| Pradeep Pradhan                   | 15             |
| Pradeep Senanayaka                | 18             |
| Pradeep Singh Rawat               | 19             |
| Pradip Adhikari                   | 15             |
| Pradip Das                        | 10             |
| Pradip Kabre                      | 12             |
| Pradon Sirakovit                  | 16             |
| Pradyumna Kumar Mahanandia        | 26             |
| Prakash Bharadwaj                 | 17             |
| Prakash Deshmukh                  | 16             |
| Prakash Dhotre                    | 14             |
| Prakash Kovelamudi                | 18             |
| Prakash Parulekar                 | 17             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakash Raj                       | 11             |
| Prakasit Bowsuwan                 | 17             |
| Prakasit Bowsuwan                 | 17             |
| Prakasit Bowsuwan                 | 17             |
| Prakasit Horwannapakorn           | 23             |
| Pramod Moutho                     | 13             |
| Prangthong Changdham              | 20             |
| Prangthong Changdham              | 20             |
| Pranjal Saikia                    | 14             |
| Pranjal Saikia                    | 14             |
| Pranjana Dutta                    | 14             |
| Prasanna                          | 8              |
| Prasanna                          | 8              |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prasenjit Chatterjee              | 20             |
| Prashant Damle                    | 14             |
| Prashant Narayanan                | 18             |
| Prashanth                         | 9              |
| Prastuti Parasar                  | 16             |
| Prastuti Parasar                  | 16             |
| Prastuti Parasar                  | 16             |
| Prasun Banerjee                   | 15             |
| Prateek Saxena                    | 14             |
| Prathapachandran                  | 16             |
| Prathapachandran                  | 16             |
| Prathapachandran                  | 16             |
| Pratibha Chaudhary                | 18             |
| Pratik                            | 6              |
| Prazeres Barbosa                  | 16             |
| Predrag 'Miki' Manojlovic         | 25             |
| Predrag 'Miki' Manojlovic         | 25             |
| Predrag 'Miki' Manojlovic         | 25             |
| Predrag Momcilovic                | 18             |
| Preethi                           | 7              |
| Preeti Barameeanat                | 18             |
| Preeti Bhutani                    | 14             |
| Preeti Bhutani                    | 14             |
| Preeti Jain                       | 11             |
| Preeti Jhangiani                  | 16             |
| Preeti Jhangiani                  | 16             |
| Preeti Jhangiani                  | 16             |
| Preeti Mehra                      | 12             |
| Preeti Nigam                      | 12             |
| Preeti Nigam                      | 12             |
| Preeti Patel                      | 12             |
| Preeti Patel                      | 12             |
| Preity G Zinta                    | 14             |
| Preity G Zinta                    | 14             |
| Preity G Zinta                    | 14             |
| Prem Chopra                       | 11             |
| Prem Chopra                       | 11             |
| Prem Chopra                       | 11             |
| Prema                             | 5              |
| Prema                             | 5              |
| Prema                             | 5              |
| Prema Kiran                       | 11             |
| Premsinee Ratanasopha             | 21             |
| Prerak Baxi                       | 11             |
| Pretty Asmara                     | 13             |
| Priit Võigemast                   | 15             |
| Primoz Ekart                      | 12             |
| Prince Jacob                      | 12             |
| Princess Erika                    | 14             |
| Princess Of Pain                  | 16             |
| Priscilla Betti                   | 15             |
| Priscilla Cronley Swiat           | 23             |
| Priscilla Inga Taylor             | 21             |
| Priscilla Koo                     | 13             |
| Priscilla Rozenbaum               | 19             |
| Priscilla Smith                   | 15             |
| Priscilla Telmon                  | 16             |
| Prithvi Sankhala                  | 16             |
| Prithvi Vazir                     | 13             |
| Prithvi Zutshi                    | 14             |
| Prithviraj Sukumaran              | 20             |
| Prithviraj Sukumaran              | 20             |
| Prithviraj Sukumaran              | 20             |
| Prithviraj Sukumaran              | 20             |
| Priya Badlani                     | 13             |
| Priya Tailor                      | 12             |
| Priyamani                         | 9              |
| Priyamani                         | 9              |
| Priyanka Bidaye Talak             | 21             |
| Priyanka Chopra Jonas             | 21             |
| Priyanka Chopra Jonas             | 21             |
| Priyanka Chopra Jonas             | 21             |
| Priyanka Chopra Jonas             | 21             |
| Priyanka Chopra Jonas             | 21             |
| Priyanka Kothari                  | 16             |
| Priyanka Samaraweera              | 20             |
| Priyanka Upendra                  | 16             |
| Priyanka Yadav                    | 14             |
| Priyanshu Chatterjee              | 20             |
| Priyanshu Chatterjee              | 20             |
| Priyanshu Chatterjee              | 20             |
| Prodromos Antoniadis              | 20             |
| Prono                             | 5              |
| Przemyslaw Bluszcz                | 18             |
| Ptolemy Slocum                    | 14             |
| Pui-Sai Cheung                    | 14             |
| Pui-Yan Chan                      | 12             |
| Pumwaree Yodkamol                 | 17             |
| Pumwaree Yodkamol                 | 17             |
| Puneet Issar                      | 12             |
| Puneet Issar                      | 12             |
| Puneeth Rajkumar                  | 16             |
| Puneeth Rajkumar                  | 16             |
| Punu Suwanno                      | 12             |
| Punu Suwanno                      | 12             |
| Punu Suwanno                      | 12             |
| Pura Narváez                      | 12             |
| Purabi Sharma                     | 13             |
| Purnima                           | 7              |
| Puru Rajkumar                     | 13             |
| Purva Bedi                        | 10             |
| Pushpa Jhadav                     | 13             |
| Pushpa Mala                       | 11             |
| Pushpendra                        | 10             |
| Pushpita Mukherjee                | 18             |
| Pyar Mirasol                      | 12             |
| Pyramid Natarajan                 | 17             |
| Péter Andorai                     | 13             |
| Péter Bacsó                       | 11             |
| Péter Dr. Rigó                    | 14             |
| Péter Halász                      | 12             |
| Péter Halász                      | 12             |
| Péter Jankovics                   | 15             |
| Péter Kokics                      | 12             |
| Péter Scherer                     | 13             |
| Pío Leyva                         | 9              |
| Qi Gao                            | 6              |
| Qi Lu                             | 5              |
| Qing Han                          | 8              |
| Qiu Lian Liu                      | 12             |
| Qiu Yuen                          | 8              |
| Quang Dung                        | 10             |
| Quang Dung                        | 10             |
| Quang Nhan                        | 10             |
| Quang Vu                          | 8              |
| Quanie Cash                       | 11             |
| Quanita Adams                     | 13             |
| Quddus                            | 6              |
| Queen Latifah                     | 13             |
| Queen Latifah                     | 13             |
| Quenby Bakke                      | 12             |
| Quentin Andrus                    | 14             |
| Quentin Haag                      | 12             |
| Queralt Antú Serrano              | 20             |
| Quin Gordon                       | 11             |
| Quinn Duffy                       | 11             |
| Quinn Shephard                    | 14             |
| Quinn Spilsbury                   | 15             |
| Quran Pender                      | 12             |
| R. Keith Harris                   | 15             |
| R. Pandiaraajan                   | 15             |
| R. Pandiaraajan                   | 15             |
| R. Sarathkumar                    | 14             |
| R. Sarathkumar                    | 14             |
| R.H. Thomson                      | 12             |
| R.L. Burnside                     | 13             |
| Raasi                             | 5              |
| Rabi Misra                        | 10             |
| Race Wong                         | 9              |
| Rachael Anobile                   | 15             |
| Rachael Bernard                   | 15             |
| Rachael Blake                     | 13             |
| Rachael Butterworth               | 19             |
| Rachael Leigh Cook                | 18             |
| Rachael Walton                    | 14             |
| Rachana Banerjee                  | 16             |
| Rachana Banerjee                  | 16             |
| Rachana Banerjee                  | 16             |
| Rachana Banerjee                  | 16             |
| Racheal Blankenbaker              | 20             |
| Rachel Aronson                    | 14             |
| Rachel Binder                     | 13             |
| Rachel Bissex                     | 13             |
| Rachel Brenna                     | 13             |
| Rachel Budker                     | 13             |
| Rachel DeGenaro                   | 15             |
| Rachel Grant                      | 12             |
| Rachel Illingworth                | 18             |
| Rachel Jennings                   | 15             |
| Rachel Lachance                   | 15             |
| Rachel McAdams                    | 14             |
| Rachel McAdams                    | 14             |
| Rachel Novikas                    | 14             |
| Rachel Owens                      | 12             |
| Rachel Plaster                    | 14             |
| Rachel Rattner                    | 14             |
| Rachel Rehmet                     | 13             |
| Rachel Weisz                      | 12             |
| Rachel Wolf                       | 11             |
| Rachelle Hugg                     | 13             |
| Rachid El Hazmir                  | 16             |
| Rachid El Ouali                   | 15             |
| Rachid Fares                      | 12             |
| Rachida Brakni                    | 14             |
| Rachida Brakni                    | 14             |
| Rachit Trehan                     | 13             |
| Rad Lazar                         | 9              |
| Radek Fijolek                     | 13             |
| Radena Valkanova                  | 16             |
| Radha Mitchell                    | 14             |
| Radha Mitchell                    | 14             |
| Radha Ravi                        | 10             |
| Radha Ravi                        | 10             |
| Radha Ravi                        | 10             |
| Radhika Chaudhari                 | 17             |
| Radhika Chaudhari                 | 17             |
| Radhika Chaudhari                 | 17             |
| Radhika Chaudhari                 | 17             |
| Radhika Chaudhari                 | 17             |
| Radhika Chaudhari                 | 17             |
| Radhika Kumaraswamy               | 19             |
| Radhika Kumaraswamy               | 19             |
| Radhika Sarathkumar               | 19             |
| Radhit Syaharzam                  | 16             |
| Radik Golovkov                    | 14             |
| Rado Omota                        | 10             |
| Radoje Cupic                      | 12             |
| Rados Bolcina                     | 13             |
| Radoslav Brzobohatý               | 19             |
| Radoslaw Pazura                   | 15             |
| Radu Gheorghe                     | 13             |
| Radzhab Adashev                   | 15             |
| Rae Ellen Bodie                   | 15             |
| Rae Sunshine Lee                  | 16             |
| Rae-won Kim                       | 11             |
| Raekwon                           | 7              |
| Raekwon                           | 7              |
| Raf                               | 3              |
| Rafael Amaya                      | 12             |
| Rafael Azcona                     | 13             |
| Rafael Bohórquez                  | 16             |
| Rafael Cardoso                    | 14             |
| Rafael Gómez-Jordana              | 20             |
| Rafael Isgändärov                 | 17             |
| Rafael Olea                       | 11             |
| Rafael Perez                      | 12             |
| Rafael Quiles                     | 13             |
| Rafael Ruiz Guillén               | 19             |
| Rafael Spregelburd                | 18             |
| Rafal Mackowiak                   | 15             |
| Rafelito Felype                   | 15             |
| Rafet Eski                        | 10             |
| Raffaele Di Florio                | 18             |
| Raffaele Ferrante                 | 17             |
| Raffaella Airaghi                 | 17             |
| Raffaella Appià                   | 15             |
| Raffy Anido                       | 11             |
| Rafi Atamian                      | 12             |
| Rafik Mohsen                      | 12             |
| Ragesh Asthana                    | 14             |
| Raghava Lawrence                  | 16             |
| Raghu                             | 5              |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghu Babu                        | 10             |
| Raghubir Yadav                    | 14             |
| Raghubir Yadav                    | 14             |
| Raghunath                         | 9              |
| Raghunatha Reddy                  | 16             |
| Raghuvaran                        | 10             |
| Raghuvaran                        | 10             |
| Raghuvaran                        | 10             |
| Raghuvaran                        | 10             |
| Raghuvaran                        | 10             |
| Ragner Cristijanson               | 19             |
| Rahat Khan                        | 10             |
| Rahat Khan                        | 10             |
| Raheem Harley                     | 13             |
| Rahman                            | 6              |
| Rahman                            | 6              |
| Rahul Bose                        | 10             |
| Rahul Dev                         | 9              |
| Rahul Dev                         | 9              |
| Rahul Dev                         | 9              |
| Rahul Kulkarni                    | 14             |
| Rahul Manchanda                   | 15             |
| Rahul Solapurkar                  | 16             |
| Rahul Solapurkar                  | 16             |
| Raili Pietilä                     | 13             |
| Raima Sen                         | 9              |
| Raima Sen                         | 9              |
| Raimund Wallisch                  | 16             |
| Rain Phoenix                      | 12             |
| Rainer Dragon                     | 13             |
| Rainer Judd                       | 11             |
| Rainer Wolffhardt                 | 17             |
| Raisul Islam Asad                 | 17             |
| Raisul Islam Asad                 | 17             |
| Raj                               | 3              |
| Raj Babbar                        | 10             |
| Raj Babbar                        | 10             |
| Raj Babbar                        | 10             |
| Raj Hussein                       | 11             |
| Raj Kapoor                        | 10             |
| Raj Vasudeva                      | 12             |
| Raja                              | 4              |
| Raja                              | 4              |
| Raja                              | 4              |
| Raja                              | 4              |
| Raja Azery                        | 10             |
| Raja Bherwani                     | 13             |
| Raja Goutham                      | 12             |
| Rajan Datar                       | 11             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan P. Dev                      | 12             |
| Rajan Sharma                      | 12             |
| Rajasekar                         | 9              |
| Rajasekhar                        | 10             |
| Rajashekhar Kotian                | 18             |
| Rajat Bedi                        | 10             |
| Rajat Bedi                        | 10             |
| Rajat Bedi                        | 10             |
| Rajat Kapoor                      | 12             |
| Rajatabha Dutta                   | 15             |
| Rajeev Awasthi                    | 14             |
| Rajeev Kanakala                   | 15             |
| Rajeev Nigam                      | 12             |
| Rajeev Raj                        | 10             |
| Rajendra Gupta                    | 14             |
| Rajendra Gupta                    | 14             |
| Rajendra Joshi                    | 14             |
| Rajendra Prasad                   | 15             |
| Rajendra Prasad                   | 15             |
| Rajendra Prasad                   | 15             |
| Rajesh                            | 6              |
| Rajesh Hamal                      | 12             |
| Rajesh Khera                      | 12             |
| Rajesh Puri                       | 11             |
| Rajesh Puri                       | 11             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sabharwal                  | 16             |
| Rajesh Sharma                     | 13             |
| Rajesh Sharma                     | 13             |
| Rajeshwari Sachdev                | 18             |
| Rajeshwari Sachdev                | 18             |
| Rajit Kapoor                      | 12             |
| Rajitha Hiran Chamikara           | 23             |
| Rajitha Hiran Chamikara           | 23             |
| Rajiv Hede                        | 10             |
| Rajiv Punja                       | 11             |
| Rajni Basumatary                  | 16             |
| Rajpal Naurang Yadav              | 20             |
| Rajshree Thakur                   | 15             |
| Raju Ananthaswamy                 | 17             |
| Raju Shrestha                     | 13             |
| Raju Shrestha                     | 13             |
| Rakesh Bedi                       | 11             |
| Rakesh Kaysath                    | 14             |
| Rakhi Bajaj                       | 11             |
| Rakhi Bajaj                       | 11             |
| Rakshitha                         | 9              |
| Rakshitha                         | 9              |
| Rakshitha                         | 9              |
| Rakshitha                         | 9              |
| Ralf Buberti                      | 12             |
| Ralf Grawe                        | 10             |
| Ralf Koslowski                    | 14             |
| Ralf Moeller                      | 12             |
| Ralph Baker                       | 11             |
| Ralph Buchenhorst                 | 17             |
| Ralph Denton Sr.                  | 16             |
| Ralph McTell                      | 12             |
| Ralph Steel                       | 11             |
| Ram Asra                          | 8              |
| Ram Jagan                         | 9              |
| Ram Revilla                       | 11             |
| Ram Tiwari                        | 10             |
| Rama Sukmono                      | 12             |
| Rama Vij                          | 8              |
| Ramakant Anvekar                  | 16             |
| Ramana                            | 6              |
| Ramaprasad Banik                  | 16             |
| Ramaprasad Banik                  | 16             |
| Ramaprasad Banik                  | 16             |
| Rambha                            | 6              |
| Rambha                            | 6              |
| Ramen Roy Chowdhuri               | 19             |
| Ramen Roy Chowdhuri               | 19             |
| Ramesh Aravind                    | 14             |
| Ramesh Aravind                    | 14             |
| Ramesh Aravind                    | 14             |
| Ramesh Bhat                       | 11             |
| Ramesh Bhat                       | 11             |
| Ramesh Bhat                       | 11             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Bhatkar                    | 14             |
| Ramesh Goyal                      | 12             |
| Ramesh Goyal                      | 12             |
| Ramesh Goyal                      | 12             |
| Ramesh Goyal                      | 12             |
| Ramesh Khanna                     | 13             |
| Ramesh Khanna                     | 13             |
| Ramesh Khanna                     | 13             |
| Ramez Galal                       | 11             |
| Rami Heuberger                    | 14             |
| Ramil Sabitov                     | 13             |
| Ramiro Alonso                     | 13             |
| Ramiro Brahim                     | 13             |
| Ramiro Dibós                      | 12             |
| Ramiro Meneses                    | 14             |
| Ramisses Aponte                   | 15             |
| Ramiya                            | 6              |
| Ramki                             | 5              |
| Ramli Hassan                      | 12             |
| Ramona Herrera                    | 14             |
| Ramses Cairo                      | 12             |
| Ramu Mangalappalli                | 18             |
| Ramya                             | 5              |
| Ramya                             | 5              |
| Ramya                             | 5              |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramya Krishnan                    | 14             |
| Ramzi Azaiez                      | 12             |
| Ramzy Bedia                       | 11             |
| Ramzy Bedia                       | 11             |
| Ramón Barea                       | 11             |
| Ramón Esquinas                    | 14             |
| Ramón Llao                        | 10             |
| Ramón Puerta                      | 12             |
| Ran Bechor                        | 10             |
| Ran Choi                          | 8              |
| Ran Shinjô                        | 10             |
| Rana Alamuddin                    | 14             |
| Rana Jung Bahadur                 | 17             |
| Rana Shahid                       | 11             |
| Rana al Aiouby                    | 14             |
| Rance Howard                      | 12             |
| Rand Beers                        | 10             |
| Randall Carlton                   | 15             |
| Randall Carlton                   | 15             |
| Randall Duk Kim                   | 15             |
| Randall Holden                    | 14             |
| Randall Newsome                   | 15             |
| Randall Tetlichi                  | 16             |
| Randhir Singh                     | 13             |
| Randolph Braham                   | 15             |
| Randon Miles Chisnell             | 21             |
| Randy Gage                        | 10             |
| Randy Howard                      | 12             |
| Randy Quaid                       | 11             |
| Randy Quaid                       | 11             |
